Year,Rank,Title,Artist
2018,1,God's Plan,Drake
2018,2,Perfect,Ed Sheeran
2018,3,Meant to Be,Bebe Rexha
2018,4,Havana,Camila Cabello
2018,5,Rockstar,Post Malone
2018,6,Psycho,Post Malone
2018,7,I Like It,Cardi B
2018,8,The Middle,Zedd
2018,9,In My Feelings,Drake
2018,10,Girls Like You,Maroon 5
2018,11,Nice for What,Drake
2018,12,Lucid Dreams,Juice Wrld
2018,13,Better Now,Post Malone
2018,14,Finesse,Bruno Mars
2018,15,Boo'd Up,Ella Mai
2018,16,New Rules,Dua Lipa
2018,17,Sad!,XXXTentacion
2018,18,Never Be the Same,Camila Cabello
2018,19,Love Lies,Khalid
2018,20,No Tears Left to Cry,Ariana Grande
2018,21,Mine,Bazzi
2018,22,Thunder,Imagine Dragons
2018,23,Look Alive,BlocBoy JB
2018,24,Delicate,Taylor Swift
2018,25,Yes Indeed,Lil Baby
2018,26,Friends,Marshmello
2018,27,Bad at Love,Halsey
2018,28,Taste,Tyga
2018,29,Let You Down,NF
2018,30,No Limit,G-Eazy
2018,31,Fefe,6ix9ine
2018,32,Tequila,Dan + Shay
2018,33,Feel It Still,Portugal. The Man
2018,34,MotorSport,Migos
2018,35,I Like Me Better,Lauv
2018,36,Youngblood,5 Seconds of Summer
2018,37,Whatever It Takes,Imagine Dragons
2018,38,Ric Flair Drip,Offset
2018,39,I Fall Apart,Post Malone
2018,40,Pray for Me,The Weeknd
2018,41,Back to You,Selena Gomez
2018,42,Sicko Mode,Travis Scott
2018,43,Walk It Talk It,Migos
2018,44,Gucci Gang,Lil Pump
2018,45,Him & I,G-Eazy
2018,46,In My Blood,Shawn Mendes
2018,47,All the Stars,Kendrick Lamar
2018,48,Stir Fry,Migos
2018,49,Too Good at Goodbyes,Sam Smith
2018,50,Love,Kendrick Lamar
2018,51,This Is America,Childish Gambino
2018,52,Nonstop,Drake
2018,53,Heaven,Kane Brown
2018,54,Bodak Yellow,Cardi B
2018,55,Freaky Friday,Lil Dicky
2018,56,Gummo,6ix9ine
2018,57,Plug Walk,Rich the Kid
2018,58,Wait,Maroon 5
2018,59,Be Careful,Cardi B
2018,60,Wolves,Selena Gomez
2018,61,Bartier Cardi,Cardi B
2018,62,God Is a Woman,Ariana Grande
2018,63,Big Bank,YG
2018,64,Sorry Not Sorry,Demi Lovato
2018,65,How Long,Charlie Puth
2018,66,Lights Down Low,Max
2018,67,Young Dumb & Broke,Khalid
2018,68,One Kiss,Calvin Harris
2018,69,Natural,Imagine Dragons
2018,70,You Make It Easy,Jason Aldean
2018,71,Shape of You,Ed Sheeran
2018,72,I Get the Bag,Gucci Mane
2018,73,No Brainer,DJ Khaled
2018,74,Plain Jane,ASAP Ferg
2018,75,Sky Walker,Miguel
2018,76,Marry Me,Thomas Rhett
2018,77,Eastside,Benny Blanco
2018,78,Call Out My Name,The Weeknd
2018,79,King's Dead,Jay Rock
2018,80,Happier,Marshmello
2018,81,Te Boté,Bad Bunny
2018,82,Simple,Florida Georgia Line
2018,83,Lemon,N.E.R.D
2018,84,1-800-273-8255,Logic
2018,85,Say Something,Justin Timberlake
2018,86,I'm Upset,Drake
2018,87,Get Along,Kenny Chesney
2018,88,Moonlight,XXXTentacion
2018,89,What Lovers Do,Maroon 5
2018,90,X,Nicky Jam
2018,91,Outside Today,YoungBoy Never Broke Again
2018,92,Trip,Ella Mai
2018,93,Dura,Daddy Yankee
2018,94,Changes,XXXTentacion
2018,95,Mercy,Brett Young
2018,96,One Number Away,Luke Combs
2018,97,Powerglide,Rae Sremmurd
2018,98,IDGAF,Dua Lipa
2018,99,Mi Gente,J Balvin
2018,100,Believer,Imagine Dragons
