Year,Date,Rank,Title,Artist
2020,2020-01-01,1,All I Want For Christmas Is You,Mariah Carey
2020,2020-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee
2020,2020-01-01,3,Jingle Bell Rock,Bobby Helms
2020,2020-01-01,4,A Holly Jolly Christmas,Burl Ives
2020,2020-01-01,5,Circles,Post Malone
2020,2020-01-01,6,Roxanne,Arizona Zervas
2020,2020-01-01,7,It's The Most Wonderful Time Of The Year,Andy Williams
2020,2020-01-01,8,Someone You Loved,Lewis Capaldi
2020,2020-01-01,9,Memories,Maroon 5
2020,2020-01-01,10,Good As Hell,Lizzo
2020,2020-01-01,11,Last Christmas,Wham!
2020,2020-01-01,12,Feliz Navidad,Jose Feliciano
2020,2020-01-01,13,The Box,Roddy Ricch
2020,2020-01-01,14,Dance Monkey,Tones And I
2020,2020-01-01,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2020,2020-01-01,16,The Christmas Song (Merry Christmas To You),Nat King Cole
2020,2020-01-01,17,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-01,18,Lose You To Love Me,Selena Gomez
2020,2020-01-01,19,Ballin',Mustard & Roddy Ricch
2020,2020-01-01,20,BOP,DaBaby
2020,2020-01-01,21,Sleigh Ride,The Ronettes
2020,2020-01-01,22,Rudolph The Red-Nosed Reindeer,Gene Autry
2020,2020-01-01,23,Bad Guy,Billie Eilish
2020,2020-01-01,24,Happy Holiday / The Holiday Season,Andy Williams
2020,2020-01-01,25,No Guidance,Chris Brown Featuring Drake
2020,2020-01-01,26,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-01,27,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-01,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2020,2020-01-01,29,Christmas (Baby Please Come Home),Darlene Love
2020,2020-01-01,30,Panini,Lil Nas X
2020,2020-01-01,31,Underneath The Tree,Kelly Clarkson
2020,2020-01-01,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2020,2020-01-01,33,Hot,Young Thug Featuring Gunna
2020,2020-01-01,34,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-01,35,Truth Hurts,Lizzo
2020,2020-01-01,36,Run Rudolph Run,Chuck Berry
2020,2020-01-01,37,(There's No Place Like) Home For The Holidays,Perry Como
2020,2020-01-01,38,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-01,39,Heartless,The Weeknd
2020,2020-01-01,40,Blue Christmas,Elvis Presley
2020,2020-01-01,41,Everything I Wanted,Billie Eilish
2020,2020-01-01,42,White Christmas,Bing Crosby
2020,2020-01-01,43,Jingle Bells,Frank Sinatra
2020,2020-01-01,44,Like It's Christmas,Jonas Brothers
2020,2020-01-01,45,Baby It's Cold Outside,Dean Martin
2020,2020-01-01,46,Trampoline,SHAED
2020,2020-01-01,47,Woah,Lil Baby
2020,2020-01-01,48,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-01,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2020,2020-01-01,50,Ran$om,Lil Tecca
2020,2020-01-01,51,Falling,Trevor Daniel
2020,2020-01-01,52,Don't Start Now,Dua Lipa
2020,2020-01-01,53,Adore You,Harry Styles
