Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Break,Three Days Grace,spotify:track:4urxRqBRiaH0i20OKBsgxc,0.578,0.897,0,-3.906,1,0.0357,0.000666,0,0.0924,0.737,115.491,193107,4,36.39704,7
Strange Clouds,B.o.B Featuring Lil Wayne,spotify:track:0yQw3d0iQDjMrxaVHFv77J,0.531,0.665,8,-6.672,0,0.286,0.0607,0,0.131,0.8,73.726,226293,4,27.51501,7
Sober,Demi Lovato,spotify:track:0STK94RxUulYqWzwFlyAb5,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,197893,3,34.53161,10
Fine China,Future & Juice WRLD,spotify:track:5274I4mUMnYczyeXkGDWZN,0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,141587,4,55.76776,7
See You Tonight,Scotty McCreery,spotify:track:54RCDE1TAewECyX4WDUVm1,0.497,0.816,9,-6.489,1,0.0563,0.217,0,0.171,0.512,169.966,226320,4,57.39159,7
Blown Away,Carrie Underwood,spotify:track:0vFMQi8ZnOM2y8cuReZTZ2,0.531,0.843,9,-2.569,0,0.0429,0.0909,0,0.0283,0.392,136.991,240133,4,34.45472,11
44 More,Logic,spotify:track:3e7Y6sfFlIdBMJhX7wpqVO,0.824,0.584,10,-7.098,0,0.221,0.0718,0,0.106,0.219,139.965,188600,4,27.4214,8
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,spotify:track:5n86k4ft5H7OK4qdSUfYoz,0.611,0.464,10,-8.068,0,0.294,0.0171,0.214,0.0794,0.274,127.764,243413,4,30.57562,11
Fix,Chris Lane,spotify:track:6gXuwld0PRtinePSXV2Vn1,0.532,0.883,0,-2.743,0,0.0352,0.0951,0,0.304,0.7,99.995,190240,4,72.39931,7
Teach Me How To Dougie,Cali Swag District,spotify:track:61LtVmmkGr8P9I2tSPvdpf,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,237480,4,36.21877,15
Chillin' It,Cole Swindell,spotify:track:0Utg7sirTPqrs6Cx0FbriQ,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982,196747,4,18.05356,9
Higher Love,Kygo X Whitney Houston,spotify:track:6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,4,27.33844,11
18,One Direction,spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0,0.0313,0.22,0,0.119,0.221,124.038,248360,4,47.22309,8
You Changed Me,Jamie Foxx Featuring Chris Brown,spotify:track:6za48riBTylMJHsf4AJPxK,0.696,0.65,11,-6.578,0,0.252,0.123,0,0.21,0.531,137.967,242267,4,28.47944,14
Hell Of A Night,Dustin Lynch,spotify:track:4x7Di9FZJXJoxHjLxjImmp,0.499,0.797,2,-4.845,1,0.0402,0.00472,0,0.297,0.591,85.054,190427,4,16.67872,9
Staring At The Sun,Post Malone Featuring SZA,spotify:track:5KE9b4x7Zj2A8XtbkqhqTe,0.724,0.772,6,-4.389,0,0.184,0.248,0,0.308,0.347,95.074,168280,4,38.72771,8
Good Feeling,Flo Rida,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4,36.04713,8
Red Nose,Sage The Gemini,spotify:track:1KIQ0RscHwxXPJUvhuO5Bl,0.681,0.473,11,-5.733,0,0.449,0.414,0,0.0794,0.766,194.826,193200,4,31.00869,12
International Love,Pitbull Featuring Chris Brown,spotify:track:62zFEHfAYl5kdHYOivj4BC,0.669,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.045,227280,4,32.23382,9
Crushin' It,Brad Paisley,spotify:track:3yMVUGqVK5iTTkA8kGChH2,0.595,0.823,2,-5.864,1,0.0483,0.0385,1.35e-06,0.0984,0.745,108.99,220147,4,70.24593,7
Famous,Kanye West,spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.465,0.735,6,-3.715,1,0.117,0.0711,0,0.0975,0.409,173.935,196040,4,56.28993,9
Beautiful,Christina Aguilera & Beverly McClellan,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11
"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne,spotify:track:6jDMlQsmDnKtusidx4P4p8,0.647,0.767,6,-6.497,1,0.203,0.00417,0,0.103,0.537,157.925,216773,4,18.04081,9
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,spotify:track:5j1yOqWONR9T6l43AzJ6Es,0.757,0.673,1,-8.513,1,0.141,0.095,0,0.338,0.574,92.958,185806,3,61.81427,8
Neon Light,Blake Shelton,spotify:track:289hx4t6fH2BBe8p6cnXo1,0.666,0.78,2,-5.847,1,0.048,0.0189,1.01e-06,0.0635,0.923,154.056,221402,4,17.98232,14
Little Talks,Of Monsters And Men,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,0.446,0.757,1,-5.177,1,0.0322,0.0206,0,0.146,0.421,102.88,266600,4,38.14339,8
Be Real,Kid Ink Featuring DeJ Loaf,spotify:track:2npJP0YTkykkqjezhA1g8f,0.762,0.601,9,-5.415,0,0.0817,0.0702,0.000351,0.151,0.377,99.95,206720,4,19.91791,13
Light It Up,"Marshmello, Tyga & Chris Brown",spotify:track:4Q8aDd3H6LF8t4eY7So9O8,0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,137448,4,29.54025,10
Invisible,Hunter Hayes,spotify:track:2B5ey0F0QtFKNIR48vfvNJ,0.38,0.568,1,-5.713,1,0.0436,0.327,0,0.0822,0.259,155.956,276400,4,23.84158,12
Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,spotify:track:7IBSffWIu7P2MC7kMwy2FM,0.877,0.477,9,-7.379,0,0.0587,0.307,0,0.0929,0.552,127.023,226743,4,42.07542,9
Little Bit Of You,Chase Bryant,spotify:track:4AumKAnMygP1baZGTZrRdp,0.612,0.865,1,-4.277,1,0.0424,0.0639,0,0.0801,0.643,121.972,186240,4,29.73795,6
Confession,Florida Georgia Line,spotify:track:6IFPfV8PNSYOmufzQ95hmm,0.549,0.878,1,-5.066,1,0.0358,0.106,6.07e-05,0.176,0.44,104.98,190640,4,35.55817,8
Old School Love,Lupe Fiasco Featuring Ed Sheeran,spotify:track:72FdcAg79So8xaAHs2mbrB,0.701,0.781,5,-8.493,1,0.134,0.0908,1.75e-06,0.358,0.459,86.006,273904,4,75.70126,10
Doin' What She Likes,Blake Shelton,spotify:track:1MDogqDrStFSO9cdUTUFem,0.581,0.767,10,-6.28,1,0.0406,0.157,0,0.278,0.832,152.011,222613,4,23.50314,13
Goodnight Kiss,Randy Houser,spotify:track:27aDju7VAODvQYHWrrv6o9,0.731,0.71,1,-4.285,1,0.0332,0.0382,9.92e-05,0.118,0.633,111.024,206800,4,28.01593,10
No Sleep,Wiz Khalifa,spotify:track:2kzRSiyignH8yzPTrWvyPo,0.653,0.711,9,-6.454,1,0.0623,0.109,0,0.443,0.769,160.048,191320,4,49.6128,9
More Than Miles,Brantley Gilbert,spotify:track:28ov70yrukmJDAFtiThdTS,0.47,0.778,5,-5.992,1,0.037,0.0295,0.000225,0.354,0.448,152.005,252867,4,17.70398,11
Buy My Own Drinks,Runaway June,spotify:track:3WBY2lhKzkxaG5bNscQrOG,0.686,0.9,5,-4.406,1,0.0614,0.068,0,0.0985,0.962,155.963,206293,4,24.13989,8
Brand New,Ben Rector,spotify:track:3IpG4SvqxHmbZslvDSIIZP,0.555,0.933,9,-5.04,1,0.113,0.0026,0,0.122,0.421,144.874,243933,4,27.50202,10
BAD!,XXXTENTACION,spotify:track:69dXVFCMiz3SL1L7M24NdX,0.799,0.526,8,-5.153,1,0.0717,0.334,0.00174,0.0571,0.746,129.875,150475,4,30.24642,7
1985 (Intro To The Fall Off),J. Cole,spotify:track:7EulRO07ZgchxqKUHb8Pvc,0.678,0.648,2,-5.892,1,0.445,0.147,0,0.182,0.635,94.336,190177,4,35.19885,9
Wasted Time,Keith Urban,spotify:track:13wYXGimJ5fANFu0y2pqG1,0.625,0.825,7,-5.758,1,0.0481,0.0621,0,0.0753,0.341,100.004,233827,4,47.13331,9
We Back,Jason Aldean,spotify:track:6UL2RC5J2vMau9KOMKQfJg,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01e-06,0.32,0.552,155.938,197160,4,30.2696,8
Jump Right In,Zac Brown Band,spotify:track:6yIMatK8OCXC3GuIlwHxuM,0.697,0.82,1,-5.108,1,0.0575,0.0888,0,0.143,0.655,104.022,180813,4,45.04236,7
Close Your Eyes,Parmalee,spotify:track:3Bdqlr7jQLNhITAgcBGQBG,0.551,0.863,11,-3.506,1,0.0322,0.0158,0,0.0843,0.817,143.952,214933,4,39.19649,6
Big Rings,Drake & Future,spotify:track:7jslhIiELQkgW9IHeYNOWE,0.776,0.675,8,-6.224,0,0.266,0.00196,0,0.227,0.271,131.984,217707,4,116.84084,8
Last Shot,Kip Moore,spotify:track:6viHvc13l9A6Ua6xugpeX6,0.487,0.859,4,-4.403,1,0.0488,0.00204,0,0.322,0.377,148.037,228480,4,24.84669,7
Something New,Wiz Khalifa Featuring Ty Dolla $ign,spotify:track:6u8hSdYZxbK5EczDPRIXXf,0.814,0.635,7,-6.609,0,0.0809,0.0935,0,0.0892,0.784,87.581,200774,4,109.23767,8
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,0.452,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.005,117147,4,24.79963,8
Know Yourself,Drake,spotify:track:5InOp6q2vvx0fShv3bzFLZ,0.733,0.412,11,-8.687,0,0.225,0.196,0,0.342,0.179,114.413,275840,4,46.90366,9
Love Is An Open Door,Kristen Bell & Santino Fontana,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,0.737,0.637,6,-6.308,0,0.0735,0.262,0,0.319,0.537,100.033,124733,4,54.18728,7
Controlla,Drake,spotify:track:3O8NlPh2LByMU9lSRSHedm,0.611,0.468,10,-11.084,0,0.179,0.0781,0,0.101,0.349,92.092,245227,4,41.1081,11
Foreign,Trey Songz,spotify:track:0tyYpW6eJ2q7Dtfyc3v7rO,0.749,0.643,5,-7.424,0,0.114,0.0254,0,0.101,0.651,123.92,249000,4,45.35637,14
