,Date,Data,Artist,Title,Rank,Note
0,1990-01-06,"['Another Day In Paradise', 'Phil Collins']",Phil Collins,Another Day In Paradise,1,0
1,1990-01-06,"['Rhythm Nation', 'Janet Jackson']",Janet Jackson,Rhythm Nation,2,0
2,1990-01-06,"[""Don't Know Much"", 'Linda Ronstadt (Featuring Aaron Neville)']",Linda Ronstadt (Featuring Aaron Neville),Don't Know Much,3,1
3,1990-01-06,"['Pump Up The Jam', 'Technotronic Featuring Felly']",Technotronic Featuring Felly,Pump Up The Jam,4,0
4,1990-01-06,"['With Every Beat Of My Heart', 'Taylor Dayne']",Taylor Dayne,With Every Beat Of My Heart,5,0
5,1990-01-06,"['How Am I Supposed To Live Without You', 'Michael Bolton']",Michael Bolton,How Am I Supposed To Live Without You,6,0
6,1990-01-06,"[""This One's For The Children"", 'New Kids On The Block']",New Kids On The Block,This One's For The Children,7,1
7,1990-01-06,"['Just Like Jesse James', 'Cher']",Cher,Just Like Jesse James,8,0
8,1990-01-06,"[""We Didn't Start The Fire"", 'Billy Joel']",Billy Joel,We Didn't Start The Fire,9,1
9,1990-01-06,"['Everything', 'Jody Watley']",Jody Watley,Everything,10,0
10,1990-01-06,"['Back To Life', 'Soul II Soul']",Soul II Soul,Back To Life,11,0
11,1990-01-06,"['Swing The Mood', 'Jive Bunny & The Mastermixers']",Jive Bunny & The Mastermixers,Swing The Mood,12,0
12,1990-01-06,"['Just Between You And Me', 'Lou Gramm']",Lou Gramm,Just Between You And Me,13,0
13,1990-01-06,"[""Free Fallin'"", 'Tom Petty']",Tom Petty,Free Fallin',14,1
14,1990-01-06,"['Love Song', 'Tesla']",Tesla,Love Song,15,0
15,1990-01-06,"['Downtown Train', 'Rod Stewart']",Rod Stewart,Downtown Train,16,0
16,1990-01-06,"['When The Night Comes', 'Joe Cocker']",Joe Cocker,When The Night Comes,17,0
17,1990-01-06,"['Two To Make It Right', 'Seduction']",Seduction,Two To Make It Right,18,0
18,1990-01-06,"['Living In Sin', 'Bon Jovi']",Bon Jovi,Living In Sin,19,0
19,1990-01-06,"['Oh Father', 'Madonna']",Madonna,Oh Father,20,0
20,1990-01-06,"['Blame It On The Rain', 'Milli Vanilli']",Milli Vanilli,Blame It On The Rain,21,0
21,1990-01-06,"['I Remember You', 'Skid Row']",Skid Row,I Remember You,22,0
22,1990-01-06,"['Rock And A Hard Place', 'The Rolling Stones']",The Rolling Stones,Rock And A Hard Place,23,0
23,1990-01-06,"[""Janie's Got A Gun"", 'Aerosmith']",Aerosmith,Janie's Got A Gun,24,1
24,1990-01-06,"[""I'll Be Good To You"", 'Quincy Jones Featuring Ray Charles & Chaka Khan']",Quincy Jones Featuring Ray Charles & Chaka Khan,I'll Be Good To You,25,1
25,1990-01-06,"['Tender Lover', 'Babyface']",Babyface,Tender Lover,26,0
26,1990-01-06,"['Peace In Our Time', 'Eddie Money']",Eddie Money,Peace In Our Time,27,0
27,1990-01-06,"['Love Shack', 'The B-52s']",The B-52s,Love Shack,28,0
28,1990-01-06,"['What Kind Of Man Would I Be?', 'Chicago']",Chicago,What Kind Of Man Would I Be?,29,0
29,1990-01-06,"[""Don't Close Your Eyes"", 'KIX']",KIX,Don't Close Your Eyes,30,1
30,1990-01-06,"['Tell Me Why', 'Expose']",Expose,Tell Me Why,31,0
31,1990-01-06,"['Opposites Attract', 'Paula Abdul (Duet With The Wild Pair)']",Paula Abdul (Duet With The Wild Pair),Opposites Attract,32,0
32,1990-01-06,"[""(It's Just) The Way That You Love Me"", 'Paula Abdul']",Paula Abdul,(It's Just) The Way That You Love Me,33,1
33,1990-01-06,"['Was It Nothing At All', 'Michael Damian']",Michael Damian,Was It Nothing At All,34,0
34,1990-01-06,"[""Principal's Office"", 'Young M.C.']",Young M.C.,Principal's Office,35,1
35,1990-01-06,"['Bust A Move', 'Young M.C.']",Young M.C.,Bust A Move,36,0
36,1990-01-06,"['Kickstart My Heart', 'Motley Crue']",Motley Crue,Kickstart My Heart,37,0
37,1990-01-06,"['When I See You Smile', 'Bad English']",Bad English,When I See You Smile,38,0
38,1990-01-06,"['Steamy Windows', 'Tina Turner']",Tina Turner,Steamy Windows,39,0
39,1990-01-06,"['Dangerous', 'Roxette']",Roxette,Dangerous,40,0
40,1990-01-06,"['I Want You', 'Shana']",Shana,I Want You,41,0
41,1990-01-06,"[""Don't Make Me Over"", 'Sybil']",Sybil,Don't Make Me Over,42,1
42,1990-01-06,"[""Nothin' To Hide"", 'Poco']",Poco,Nothin' To Hide,43,1
