,Year,Month,Unemployment Rate
0,1960,01,5.2
1,1960,02,4.8
2,1960,03,5.4
3,1960,04,5.2
4,1960,05,5.1
5,1960,06,5.4
6,1960,07,5.5
7,1960,08,5.6
8,1960,09,5.5
9,1960,10,6.1
10,1960,11,6.1
11,1960,12,6.6
12,1961,01,6.6
13,1961,02,6.9
14,1961,03,6.9
15,1961,04,7.0
16,1961,05,7.1
17,1961,06,6.9
18,1961,07,7.0
19,1961,08,6.6
20,1961,09,6.7
21,1961,10,6.5
22,1961,11,6.1
23,1961,12,6.0
24,1962,01,5.8
25,1962,02,5.5
26,1962,03,5.6
27,1962,04,5.6
28,1962,05,5.5
29,1962,06,5.5
30,1962,07,5.4
31,1962,08,5.7
32,1962,09,5.6
33,1962,10,5.4
34,1962,11,5.7
35,1962,12,5.5
36,1963,01,5.7
37,1963,02,5.9
38,1963,03,5.7
39,1963,04,5.7
40,1963,05,5.9
41,1963,06,5.6
42,1963,07,5.6
43,1963,08,5.4
44,1963,09,5.5
45,1963,10,5.5
46,1963,11,5.7
47,1963,12,5.5
48,1964,01,5.6
49,1964,02,5.4
50,1964,03,5.4
51,1964,04,5.3
52,1964,05,5.1
53,1964,06,5.2
54,1964,07,4.9
55,1964,08,5.0
56,1964,09,5.1
57,1964,10,5.1
58,1964,11,4.8
59,1964,12,5.0
60,1965,01,4.9
61,1965,02,5.1
62,1965,03,4.7
63,1965,04,4.8
64,1965,05,4.6
65,1965,06,4.6
66,1965,07,4.4
67,1965,08,4.4
68,1965,09,4.3
69,1965,10,4.2
70,1965,11,4.1
71,1965,12,4.0
72,1966,01,4.0
73,1966,02,3.8
74,1966,03,3.8
75,1966,04,3.8
76,1966,05,3.9
77,1966,06,3.8
78,1966,07,3.8
79,1966,08,3.8
80,1966,09,3.7
81,1966,10,3.7
82,1966,11,3.6
83,1966,12,3.8
84,1967,01,3.9
85,1967,02,3.8
86,1967,03,3.8
87,1967,04,3.8
88,1967,05,3.8
89,1967,06,3.9
90,1967,07,3.8
91,1967,08,3.8
92,1967,09,3.8
93,1967,10,4.0
94,1967,11,3.9
95,1967,12,3.8
96,1968,01,3.7
97,1968,02,3.8
98,1968,03,3.7
99,1968,04,3.5
100,1968,05,3.5
101,1968,06,3.7
102,1968,07,3.7
103,1968,08,3.5
104,1968,09,3.4
105,1968,10,3.4
106,1968,11,3.4
107,1968,12,3.4
108,1969,01,3.4
109,1969,02,3.4
110,1969,03,3.4
111,1969,04,3.4
112,1969,05,3.4
113,1969,06,3.5
114,1969,07,3.5
115,1969,08,3.5
116,1969,09,3.7
117,1969,10,3.7
118,1969,11,3.5
119,1969,12,3.5
120,1970,01,3.9
121,1970,02,4.2
122,1970,03,4.4
123,1970,04,4.6
124,1970,05,4.8
125,1970,06,4.9
126,1970,07,5.0
127,1970,08,5.1
128,1970,09,5.4
129,1970,10,5.5
130,1970,11,5.9
131,1970,12,6.1
132,1971,01,5.9
133,1971,02,5.9
134,1971,03,6.0
135,1971,04,5.9
136,1971,05,5.9
137,1971,06,5.9
138,1971,07,6.0
139,1971,08,6.1
140,1971,09,6.0
141,1971,10,5.8
142,1971,11,6.0
143,1971,12,6.0
144,1972,01,5.8
145,1972,02,5.7
146,1972,03,5.8
147,1972,04,5.7
148,1972,05,5.7
149,1972,06,5.7
150,1972,07,5.6
151,1972,08,5.6
152,1972,09,5.5
153,1972,10,5.6
154,1972,11,5.3
155,1972,12,5.2
156,1973,01,4.9
157,1973,02,5.0
158,1973,03,4.9
159,1973,04,5.0
160,1973,05,4.9
161,1973,06,4.9
162,1973,07,4.8
163,1973,08,4.8
164,1973,09,4.8
165,1973,10,4.6
166,1973,11,4.8
167,1973,12,4.9
168,1974,01,5.1
169,1974,02,5.2
170,1974,03,5.1
171,1974,04,5.1
172,1974,05,5.1
173,1974,06,5.4
174,1974,07,5.5
175,1974,08,5.5
176,1974,09,5.9
177,1974,10,6.0
178,1974,11,6.6
179,1974,12,7.2
180,1975,01,8.1
181,1975,02,8.1
182,1975,03,8.6
183,1975,04,8.8
184,1975,05,9.0
185,1975,06,8.8
186,1975,07,8.6
187,1975,08,8.4
188,1975,09,8.4
189,1975,10,8.4
190,1975,11,8.3
191,1975,12,8.2
192,1976,01,7.9
193,1976,02,7.7
194,1976,03,7.6
195,1976,04,7.7
